127.0.0.1 - - [09/Feb/2020:17:07:31 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [09/Feb/2020:17:07:32 +0900] "GET /spring02/ HTTP/1.1" 200 1433
0:0:0:0:0:0:0:1 - - [09/Feb/2020:17:07:32 +0900] "GET /spring02/include/style.css HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [09/Feb/2020:17:07:32 +0900] "GET /spring02/include/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [09/Feb/2020:17:08:07 +0900] "GET /spring02/member/address.do HTTP/1.1" 200 3634
0:0:0:0:0:0:0:1 - - [09/Feb/2020:17:08:07 +0900] "GET /spring02/include/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2020:17:08:07 +0900] "GET /spring02/include/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2020:17:08:09 +0900] "GET /spring02/memo/list.do HTTP/1.1" 500 33918
0:0:0:0:0:0:0:1 - - [09/Feb/2020:17:08:35 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [09/Feb/2020:17:08:35 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [09/Feb/2020:17:08:43 +0900] "GET /spring02/ HTTP/1.1" 200 1433
0:0:0:0:0:0:0:1 - - [09/Feb/2020:17:08:43 +0900] "GET /spring02/include/style.css HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [09/Feb/2020:17:08:43 +0900] "GET /spring02/include/jquery-3.2.1.min.js HTTP/1.1" 200 86659
